hours,jd,fid,H,sigmapsf,heliodist
12689.952499195932,2458896.6742708,1,7.84955725537909,0.18011811375618,14.43187197971
12690.60638879612,2458896.7015162,1,7.82978185563466,0.205087795853615,14.43185130001
12760.935832802206,2458899.6319097,2,7.34641969066171,0.0862192213535308,14.42963346176
12760.94722320512,2458899.6323843,2,7.21717654321301,0.113242298364639,14.42962733137
12761.992778398097,2458899.6759491,1,7.76789726272555,0.161185100674629,14.4295942831
12857.09111039713,2458903.6383796,1,7.92933391937883,0.156878381967545,14.42658949818
12857.102222397923,2458903.6388426,1,7.78147143084744,0.198934778571129,14.4265891472
12857.517777599394,2458903.6561574,2,7.20585123820939,0.101082794368267,14.42657602192
12857.528889600188,2458903.6566204,2,7.24693833464993,0.105998292565346,14.42657567095
13049.993611201644,2458911.6759838,2,7.079159709899583,0.1605044603347778,14.42050703587
13144.60222319886,2458915.6180093,2,7.23094619149072,0.116536766290665,14.41751861406
16800.726388804615,2459067.9565162,2,7.53756431328912,0.143543809652328,14.19385843396
17185.161110401154,2459083.9746296,2,7.25192300466819,0.101685635745525,14.30402704912
17185.422499202192,2459083.9855208,1,7.72492756862496,0.184314623475075,14.29230061728
17208.1411104016,2459084.9321296,1,8.08946891418917,0.1926429271698,14.25815039637
17256.381388798356,2459086.9421412,2,7.22057816369407,0.0871920138597488,14.29009381565
17257.65722160414,2459086.9953009,1,7.7825670047473,0.137947916984558,14.27559284651
17735.226388804615,2459106.8940162,2,7.41679040541644,0.175191670656204,14.17207062011
17760.04416719824,2459107.9280903,2,7.46636245455228,0.123315803706646,14.25021445538
17785.25833439827,2459108.9786806,2,7.68924015658375,0.141182199120522,14.23366902179
17785.639723196626,2459108.9945718,2,7.60781190677921,0.108326852321625,14.23224396456
17808.207777600735,2459109.9349074,2,7.16255468332111,0.1219083070755004,14.27338222874
17833.259167201817,2459110.9787153,1,7.949666259717055,0.1861207485198974,14.27262382661
17833.54027679935,2459110.9904282,2,7.34826814941709,0.0973490625619888,14.26833468969
17834.144999999553,2459111.015625,1,7.869920718239982,0.169630154967308,14.27259701225
17854.97777760029,2459111.8836574,1,8.11114491162001,0.199848651885986,14.20809016499
17856.03250079602,2459111.9276042,2,7.64930454750946,0.12345302850008,14.20805882776
17879.662499997765,2459112.9121875,2,7.65559809418571,0.113994471728802,14.21230458079
17881.53138960153,2459112.9900579,2,7.60415322459995,0.0955576747655869,14.20594071683
17904.011112000793,2459113.926713,2,7.59286840409658,0.0970006957650185,14.20454668425
17929.032499194145,2459114.9692708,2,7.63341869169188,0.100235469639301,14.20949792725
17929.563333604485,2459114.9913889,2,7.70385943162766,0.111833699047565,14.20943408603
17929.97944559902,2459115.0087269,1,7.76503909195857,0.1557990610599517,14.26969737896
17950.76055599749,2459115.8746065,2,7.6576841932337,0.0999502837657928,14.22158436279
17975.052777595818,2459116.8867824,2,7.26872194473721,0.100880071520805,14.27121967317
17999.49583440274,2459117.9052431,2,7.54014078027203,0.102294594049454,14.2243678762
18024.89416559413,2459118.9635069,1,8.055017929417245,0.170451357960701,14.26682811141
18073.031112000343,2459120.969213,1,7.74742842408965,0.1732973605394363,14.26537390095
18073.52222159877,2459120.9896759,2,7.23224110386714,0.0798642858862877,14.29013263982
18094.62944399938,2459121.8691435,1,7.788452877169814,0.2091224193572998,14.26472163019
18096.75666720048,2459121.9577778,2,7.56402012067466,0.108776614069939,14.22164101877
18121.44416639954,2459122.9864236,2,7.30755170430342,0.154854983091354,14.27116312599
18191.87944560125,2459125.9212269,1,7.96549710735839,0.2138698995113372,14.26178630297
18192.757221601903,2459125.9578009,1,7.671265607749353,0.1989956200122833,14.26175982093
18193.15194480121,2459125.9742477,2,7.2879652460987,0.128552511334419,14.24883331305
18193.47055439651,2459125.9875231,2,7.32668180466547,0.0925456434488297,14.24880531895
18214.896388795227,2459126.8802662,2,7.29688639820383,0.155698746442795,14.25525686982
