ssnamenr,jd,fid,pid,diffmaglim,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,magapbig,sigmagapbig,distnr,magnr,fwhm,elong,rb,ssdistnr,ssmagnr,id,night,obsdist,phaseangle,G,H,heliodist,antaresID,ltc
2060,2458352.877037,1,598377032015,20.1855430603027,359.6740132,3.8009509,18.6141529083252,0.0982259064912796,3.6463577747345,18.6133995056152,0.0929000005125999,18.7091007232666,0.129399999976158,7.9839825630188,23.1989994049072,2.55999994277954,1.04745376110077,0.75,0.0,18.6000003814697,ZTF18aborwsa,20180823,17.8452229109083,1.6665,0.15,5.78524362734361,18.70694315682,-1.0,-0.10309198677590006
2060,2458363.8128935,1,609312892015,20.0081958770752,359.2788359,3.634715,18.5550174713135,0.0954290851950645,2.40332293510437,18.7367992401123,0.0970000028610229,18.6109008789062,0.110299997031689,7.65226793289185,23.1569995880127,3.3199999332428,1.04815578460693,0.756666660308838,0.0,18.6000003814697,ZTF18abskvsp,20180903,17.7682191303277,1.1407,0.15,5.77975217606908,18.71042731968,-1.0,-0.10264713535717909
2060,2458369.8257407,1,615325742215,20.8000011444092,359.0442461,3.5327493,18.5969753265381,0.0697798505425453,9.36483287811279,18.5447006225586,0.0509000010788441,18.4993000030518,0.0614000000059605,11.1852588653564,22.7080001831055,2.0699999332428,1.03278684616089,0.783333361148834,0.0,18.5,ZTF18abufbyo,20180909,17.7398325373734,0.8348,0.15,5.85459440414819,18.71232692014,-1.0,-0.10248314579649566
2060,2458372.7871296,1,618287122215,20.6583385467529,358.925592,3.4802907,18.5231666564941,0.0643286108970642,1.39919412136078,18.5389995574951,0.0529000014066696,18.5266990661621,0.0658000037074089,5.72313642501831,22.9699993133545,2.16000008583069,1.06854844093323,0.823333323001862,0.0,18.5,ZTF18abvbyly,20180911,17.7296966868899,0.6826,0.15,5.79817983819898,18.71325829689,-1.0,-0.10242459091213113
2060,2458372.8685532,2,618368552215,20.4323253631592,358.9222494,3.4788281,18.104528427124,0.0479700453579426,4.46160793304443,18.1070003509521,0.0430999994277954,18.1077003479004,0.0542000010609627,11.1633501052856,23.1749992370605,2.69000005722046,1.04408061504364,0.836666643619537,0.0,18.5,ZTF18abvddpl,20180912,17.729454533718,0.6784,0.15,5.38003532061561,18.71328386605,-1.0,-0.10242319199143847
2060,2458375.8095486,1,621309542215,20.8073215484619,358.8028853,3.4254961,18.4869213104248,0.057631604373455,9.91608142852783,18.4797992706299,0.048200000077486,18.4675998687744,0.0599000006914139,11.1745672225952,22.9190006256104,2.0699999332428,1.01269388198853,0.829999983310699,0.0,18.5,ZTF18abvxjjo,20180915,17.7220296160333,0.5286,0.15,5.78067766788082,18.71420601265,-1.0,-0.10238029818621201
2060,2458375.8583681,2,621358362215,20.483211517334,358.8008644,3.4246026,18.0265960693359,0.0427243523299694,6.87770891189575,17.9972991943359,0.0399000011384487,17.9682006835937,0.0489000007510185,16.939079284668,23.0270004272461,2.52999997138977,1.09299004077911,0.833333313465118,0.0,18.5,ZTF18abvykuo,20180915,17.721928136802,0.5261,0.15,5.32066893407823,18.71422129692,-1.0,-0.10237971193993067
2060,2458378.8182639,1,624318262215,20.7138061523437,358.6797008,3.3698495,18.4543571472168,0.057410791516304,7.97225284576416,18.4237003326416,0.0476000010967255,18.3780994415283,0.0573999993503094,9.86351776123047,23.3059997558594,2.34999990463257,1.05570650100708,0.810000002384186,0.0,18.5,ZTF18abwwqws,20180918,17.7171104012108,0.3813,0.15,5.76769375409496,18.71514656618,-1.0,-0.1023518798452386
2060,2458378.8869907,2,624386992215,20.4941997528076,358.6768186,3.3685682,17.9922466278076,0.0444717071950436,13.3725814819336,18.0650005340576,0.0474000014364719,18.1124000549316,0.062899999320507,6.32669448852539,16.07200050354,2.70000004768372,1.11338579654694,0.753333330154419,0.0,18.5,ZTF18abwypuc,20180918,17.7170297978517,0.378,0.15,5.30604709298356,18.71516801744,-1.0,-0.10235141419902774
2060,2458382.850625,2,628350622215,20.115514755249,358.5137056,3.2939448,17.9387683868408,0.0370557010173798,2.31933093070984,17.8073997497559,0.0546000003814697,17.75119972229,0.0659999996423721,5.71014022827148,22.8430004119873,1.72000002861023,1.04109585285187,0.839999973773956,0.0,18.5,ZTF18abyavep,20180922,17.714789352645,0.2216,0.15,5.27646594208775,18.71640263704,-1.0,-0.10233847113024264
2060,2458382.8926505,1,628392652215,19.8551502227783,358.511931,3.2931773,18.3598575592041,0.0654214918613434,1.67765891551971,18.3092994689941,0.091899998486042,18.2273998260498,0.109099999070168,8.24701690673828,21.4010009765625,2.1800000667572,1.03274214267731,0.810000002384186,0.0,18.5,ZTF18abybsak,20180922,17.7147909926777,0.2205,0.15,5.69773952616388,18.71641570084,-1.0,-0.10233848060472385
2060,2458387.9208912,2,633420892215,18.9055328369141,358.3050311,3.1970137,18.0249824523926,0.112711943686008,2.73686408996582,18.3649005889893,0.213200002908707,18.5158004760742,0.31470000743866,10.2986612319946,22.4549999237061,2.29999995231628,1.04122138023376,0.606666684150696,0.0,18.5,ZTF18abzoiez,20180927,17.7188378202719,0.257,0.15,5.3561830043679,18.71797472095,-1.0,-0.10236185915812768
2060,2458397.8436111,1,643343612715,20.7386150360107,357.9049537,3.0058581,18.4809627532959,0.0615303441882133,4.49545192718506,18.4953994750977,0.0524999983608723,18.4619998931885,0.0640000030398369,15.7889804840088,23.1539993286133,2.28999996185303,1.0668523311615,0.836666643619537,0.0,18.5,ZTF18acajiro,20181007,17.749201557863,0.7319,0.15,5.74728319185696,18.72102783675,-1.0,-0.10253727069822646
2060,2458426.7249769,1,672224970915,20.0782032012939,356.9343502,2.4996749,18.7751579284668,0.090381033718586,2.76938652992249,18.8141002655029,0.111400000751019,18.8526992797852,0.147200003266335,11.0328254699707,22.7099990844727,2.54999995231628,1.13571429252625,0.756666660308838,0.0,18.7000007629395,ZTF18accqkzb,20181104,17.9968635104937,2.0806,0.15,5.89376340048959,18.72973709457,-1.0,-0.10396801565854247
2060,2458426.7392708,2,672239270915,19.9813137054443,356.9339638,2.4995124,18.2418174743652,0.0572285130620003,1.25816547870636,18.2073993682861,0.0856000036001205,18.1177005767822,0.100599996745586,15.3175249099731,22.7689990997314,1.73000001907349,1.04458594322205,0.810000002384186,0.0,18.7000007629395,ZTF18accqtxc,20181104,17.9970384554107,2.0811,0.15,5.36036487278055,18.72974133964,-1.0,-0.10396902631664183
2060,2458429.7128472,1,675212840915,20.7409687042236,356.8599052,2.4562001,18.6882572174072,0.0693257302045822,6.62149572372437,18.6432991027832,0.0579999983310699,18.6079998016357,0.0709000006318092,10.7475681304932,23.5699996948242,2.07999992370605,1.03212857246399,0.773333311080933,0.0,18.7000007629395,ZTF18aceistg,20181107,18.0344112575846,2.1942,0.15,5.79403098458724,18.73062304153,-1.0,-0.1041849292754743
2060,2458429.7587153,2,675258710915,20.5583724975586,356.8587938,2.4555693,18.3007278442383,0.0600727498531342,4.49682950973511,18.3064002990723,0.0559000000357628,18.339599609375,0.0728999972343445,5.58768939971924,22.7450008392334,1.74000000953674,1.05177998542786,0.806666672229767,0.0,18.7000007629395,ZTF18acejyxl,20181107,18.0350027128453,2.1959,0.15,5.40630730436708,18.73063662011,-1.0,-0.10418834611695726
2060,2458432.7295833,1,678229580915,20.0391235351562,356.7910131,2.4145975,18.7346782684326,0.0787136405706406,1.6122339963913,18.6592998504639,0.0681999996304512,18.5270004272461,0.0768999978899956,7.72889757156372,23.2649993896484,4.6399998664856,1.06585371494293,0.670000016689301,0.0,18.7000007629395,ZTF18achaqry,20181110,18.074241442312,2.3023,0.15,5.82790052769338,18.73151468583,-1.0,-0.10441502855177355
2060,2458432.756794,2,678256790915,19.9955387115479,356.79037,2.4142824,18.2878513336182,0.0702262967824936,2.03529930114746,18.2838001251221,0.0733999982476234,18.2646999359131,0.091899998486042,14.0228118896484,23.0939998626709,2.58999991416931,1.06145966053009,0.839999973773956,0.0,18.7000007629395,ZTF18achbbkd,20181110,18.0746091197893,2.3032,0.15,5.38096531536904,18.7315227153,-1.0,-0.10441715262732121
2060,2458435.712963,1,681212960915,20.1642951965332,356.729317,2.3760121,18.7147789001465,0.0812572613358498,1.20016694068909,18.6798992156982,0.0692000016570091,18.57200050354,0.0795999988913536,12.6204662322998,23.2309989929199,4.30999994277954,1.08360922336578,0.670000016689301,0.0,18.7000007629395,ZTF18acjtyyp,20181113,18.1154090289408,2.4024,0.15,5.79598900472546,18.73239364378,-1.0,-0.10465285400890122
2060,2458456.6640394,2,702164030915,19.9970550537109,356.4917836,2.183112,18.4118843078613,0.0699684917926788,2.89290165901184,18.3896007537842,0.0732000023126602,18.3792991638184,0.0922000035643578,10.5345144271851,22.9629993438721,3.49000000953674,1.05858170986176,0.783333361148834,0.0,18.7999992370605,ZTF18acsxibi,20181204,18.4437986096641,2.8966,0.15,5.42046372347693,18.73848710729,-1.0,-0.10654996308298151
2060,2458474.5972569,1,720097250915,19.4342651367187,356.5798097,2.1407028,18.8660049438477,0.107949167490005,1.47886228561401,19.0790996551514,0.240600004792213,19.1893005371094,0.341699987649918,2.46837139129639,22.9009990692139,2.83999991416931,1.04654443264008,0.689999997615814,0.0,18.7999992370605,ZTF18aczollg,20181222,18.7555020706309,3.0053,0.15,5.83065765393732,18.74359324168,-1.0,-0.10835067631791392
2060,2458474.6342014,2,720134200915,19.7286605834961,356.58016,2.1407546,18.3870372772217,0.069571927189827,3.73153352737427,18.6210994720459,0.151600003242493,18.6728992462158,0.203899994492531,6.40247869491577,23.2239990234375,1.75999999046326,1.08347821235657,0.786666691303253,0.0,18.7999992370605,ZTF18aczollg,20181222,18.7561504636448,3.0052,0.15,5.35162005577513,18.74360365689,-1.0,-0.10835442208922473
2060,2458487.6010417,2,733101040915,20.27903175354,356.8106703,2.184096,18.4051551818848,0.0522784106433392,2.66351938247681,18.4186000823975,0.0780000016093254,18.378999710083,0.0957999974489212,14.3434343338013,22.9200000762939,1.78999996185303,1.02959501743317,0.846666693687439,0.0,18.8999996185303,ZTF19aaagfgg,20190104,18.9809357211518,2.9019,0.15,5.35004429442608,18.74723282369,-1.0,-0.10965300821000462
2060,2458487.6428704,1,733142870915,20.2665557861328,356.8116381,2.1843148,18.8506107330322,0.0807929188013077,1.94030797481537,18.8334999084473,0.100299999117851,18.8957004547119,0.135600000619888,10.8749103546143,23.2409992218018,2.29999995231628,1.0705394744873,0.793333351612091,0.0,18.8999996185303,ZTF19aaahgkm,20190104,18.9816458286934,2.9013,0.15,5.79545583464883,18.74724444564,-1.0,-0.10965711050660543
2060,2458491.6331597,1,737133150915,20.1331386566162,356.9093825,2.2099254,18.8847427368164,0.100750587880611,1.0565425157547,18.8237991333008,0.103000000119209,18.9153003692627,0.142900004982948,11.8777475357056,22.9069995880127,2.98000001907349,1.092289686203,0.713333308696747,0.0,18.8999996185303,ZTF19aabktrz,20190108,19.0487060164681,2.84,0.15,5.8257585772043,18.74835061844,-1.0,-0.11004451771500924
2060,2458643.9582407,1,889458244215,20.0283660888672,3.6300665,4.9577185,18.8817329406738,0.0857517197728157,0.923604249954224,18.9120006561279,0.111199997365475,19.0240993499756,0.157000005245209,18.5613746643066,22.8640003204346,3.99000000953674,1.03040170669556,0.920000016689301,0.0,18.8999996185303,ZTF19aaynseo,20190610,19.0618245595291,2.9582,0.15,5.80919775254979,18.78685107463,-1.0,-0.11012030363679434
2060,2458646.9482407,1,892448244215,20.0246810913086,3.6928766,4.9901639,18.8170471191406,0.115929797291756,2.200852394104,18.7243003845215,0.118400000035763,18.744800567627,0.153899997472763,4.17159223556519,22.7509994506836,2.29999995231628,1.07152497768402,0.982857167720795,0.0,18.8999996185303,ZTF19aazdvjt,20190613,19.0144251536084,3.0004,0.15,5.74715360555971,18.78753374281,-1.0,-0.10984647691281571
2060,2458655.9431944,2,901443194215,19.308349609375,3.8418207,5.0709434,18.5129337310791,0.115805849432945,1.63199996948242,18.5858001708984,0.144500002264977,18.6151008605957,0.190200001001358,9.02718067169189,21.8910007476807,4.98000001907349,1.033118724823,0.737142860889435,0.0,18.8999996185303,ZTF19abajrgo,20190622,18.8686266725152,3.0837,0.15,5.45425969647351,18.7895704183,-1.0,-0.10900419799257771
2060,2458652.9556713,2,898455674215,19.4047794342041,3.7991008,5.0469386,18.4134120941162,0.0850714594125748,1.52195203304291,18.6891002655029,0.205699995160103,18.5562000274658,0.233600005507469,14.5722379684448,22.8649997711182,1.94000005722046,1.07044410705566,0.977142870426178,0.0,18.8999996185303,ZTF19ababmyk,20190619,18.9174739846356,3.0634,0.15,5.35047837395488,18.78889680558,-1.0,-0.10928638928154592
2060,2458662.9438426,1,908443844215,20.3970527648926,3.9145014,5.1156775,18.9247207641602,0.0994272083044052,2.90000867843628,18.9486999511719,0.100500002503395,18.8066997528076,0.112499997019768,14.4131546020508,23.1019992828369,2.42000007629395,1.04947912693024,0.997142851352692,0.0,18.7999992370605,ZTF19abcekgc,20190629,18.7533059412978,3.1022,0.15,5.87801711684097,18.79113784485,-1.0,-0.10833798926226343
2060,2458662.9616319,2,908461634215,20.5633945465088,3.9146268,5.1157784,18.4790210723877,0.0686937347054482,7.27669095993042,18.3596992492676,0.0568999983370304,18.3603000640869,0.0722000002861023,6.76532888412476,22.7900009155273,2.0,1.06423354148865,0.994285702705383,0.0,18.7999992370605,ZTF19abcekgc,20190629,18.7530123026885,3.1022,0.15,5.43235096818735,18.7911418081,-1.0,-0.10833629290981225
2060,2458666.9234838,2,912423484215,20.5576000213623,3.9385784,5.1337598,18.4647464752197,0.0584611445665359,3.7097692489624,18.4445991516113,0.062100000679493,18.4752006530762,0.0807000026106834,4.27106285095215,19.5659999847412,1.78999996185303,1.035276055336,0.981428563594818,0.0,18.7999992370605,ZTF19abdbwlm,20190703,18.6876772647117,3.094,0.15,5.42606739413821,18.79202197173,-1.0,-0.10795885190474697
