ssnamenr,jd,fid,pid,diffmaglim,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,magapbig,sigmagapbig,distnr,magnr,fwhm,elong,rb,ssdistnr,ssmagnr,id,night,phaseangle,obsdist,heliodist,H,ltc
145627,2459424.8971412,2,1670397141315,19.55725860595703,342.6569297,-26.828226,19.311038970947266,0.15293432772159576,1.1408342123031616,19.370399475097656,0.34439998865127563,18.98780059814453,0.3111000061035156,9.771748542785645,22.503999710083008,1.9900000095367432,1.1118597984313965,0.7885714173316956,1.0,19.299999237060547,ZTF21abploqk,20210729,4.8097,5.6054881479847,6.486053714235,11.098566320086508,-0.03238294712873888
145627,2459425.9394329,2,1671439430015,18.56165313720703,342.5744121,-26.8921799,16.98300552368164,0.07139105349779129,5.873416423797607,17.104000091552734,0.10320000350475311,17.019899368286133,0.12110000103712082,0.39682117104530334,15.042999267578125,1.2690433263778687,1.154362440109253,0.5071428418159485,28.0,19.299999237060547,ZTF20acaenrj,20210730,4.6946,5.59658025298626,6.48410518884,8.780770945802528,-0.03233148615243362
145627,2459426.9240625,2,1672424061315,19.777746200561523,342.5009571,-26.9658687,19.67180061340332,0.20095296204090118,1.9091053009033203,20.30780029296875,0.6597999930381775,20.66230010986328,1.1734000444412231,11.969012260437012,22.700000762939453,1.690000057220459,1.115517258644104,0.6214285492897034,1.0,19.299999237060547,ZTF21abpxdbl,20210731,4.5863,5.58841735112523,6.482263710811,11.4791746296798,-0.032284329007078165
145627,2459430.8553356,2,1676355330315,20.082191467285156,342.1753189,-27.2315461,19.02378273010254,0.13322292268276215,1.9205706119537354,18.936500549316406,0.13220000267028809,18.959699630737305,0.17239999771118164,2.147409439086914,22.378999710083008,2.140000104904175,1.1442440748214722,0.9114285707473755,1.0,19.200000762939453,ZTF21abrbfyl,20210804,4.1611,5.55832113136528,6.474904114505,10.868734246655881,-0.03211046291949902
145627,2459430.9180787,1,1676418070315,19.960649490356445,342.1697588,-27.2358566,19.556541442871094,0.17010875046253204,1.1248396635055542,19.426000595092773,0.19519999623298645,19.596099853515625,0.2919999957084656,10.584823608398438,22.78499984741211,3.6700000762939453,1.1715975999832153,0.7057142853736877,1.0,19.200000762939453,ZTF21abrdnxo,20210804,4.1545,5.55787370639472,6.47478656185,11.402077155362331,-0.032107878142083886
145627,2459439.8763773,2,1685376370215,19.570819854736328,341.3268627,-27.8233099,18.997392654418945,0.14517728984355927,1.3658268451690674,18.789600372314453,0.17579999566078186,18.544099807739258,0.17990000545978546,3.6520583629608154,22.236000061035156,3.0299999713897705,1.1294387578964233,0.7699999809265137,1.0,19.200000762939453,ZTF21abtapon,20210813,3.31,5.50500383691866,6.457972831287,10.91871243557246,-0.031802448509062164
145627,2459769.9210301,1,2015421033915,19.96983528137207,9.882566,-16.8831619,19.611114501953125,0.1715625375509262,1.0245189666748047,19.491199493408203,0.19020000100135803,19.457300186157227,0.2362000048160553,6.168536186218262,22.68600082397461,4.230000019073486,1.2037252187728882,0.6628571152687073,0.0,19.399999618530273,ZTF22aastfrp,20220709,9.7864,5.47911986972265,5.807932947227,11.460121850969854,-0.031652916636179376
145627,2459788.9710185,1,2034471012015,20.35382843017578,10.4681316,-17.8292633,19.788482666015625,0.1960391253232956,1.3812776803970337,19.669200897216797,0.20659999549388885,19.64550018310547,0.25859999656677246,9.260247230529785,22.924999237060547,2.880000114440918,1.21159029006958,0.7699999809265137,0.0,19.200000762939453,ZTF22aaxjjgh,20220728,8.7266,5.18714467317804,5.769462816006,11.81476619747379,-0.029966173732975394
145627,2459807.8663079,2,2053366300415,19.47867774963379,10.0706858,-19.0773185,18.976787567138672,0.1384223997592926,0.9882944226264954,19.04640007019043,0.28929999470710754,19.03849983215332,0.36880001425743103,16.346967697143555,20.275999069213867,2.0,1.223938226699829,0.7785714268684387,0.0,19.0,ZTF22abarape,20220816,6.9204,4.9484602203286,5.73132379827,11.19954767544213,-0.028587291856317733
145627,2459813.8356366,1,2059335630415,20.094404220581055,9.74579,-19.5045178,19.67644691467285,0.1687995344400406,0.7120457291603088,19.75040054321289,0.22609999775886536,19.530899047851562,0.23659999668598175,14.059893608093262,23.285999298095703,3.630000114440918,1.02765953540802,0.7971428632736206,0.0,19.0,ZTF22abccjzc,20220822,6.2485,4.88764677331557,5.719282629655,11.962262692133088,-0.0282359721162078
145627,2459815.9203241,1,2061420320515,20.520282745361328,9.6106517,-19.6547436,19.86819076538086,0.15230433642864227,1.619917631149292,19.619199752807617,0.17900000512599945,19.41390037536621,0.18979999423027039,9.12849235534668,22.80500030517578,1.7899999618530273,1.0134128332138062,0.7400000095367432,0.0,18.899999618530273,ZTF22abcrsct,20220824,6.0101,4.86831865208983,5.715078572461,12.175738750880418,-0.028124313414730387
145627,2459817.9068056,1,2063406800515,20.343935012817383,9.4723724,-19.7977388,19.35309600830078,0.09923260658979416,0.8364296555519104,19.373199462890625,0.15970000624656677,19.33679962158203,0.1973000019788742,5.940192699432373,22.966999053955078,2.1700000762939453,1.0705705881118774,0.9442856907844543,0.0,18.899999618530273,ZTF22abdfyzr,20220826,5.7833,4.85086567807092,5.711073147378,11.681097388294681,-0.028023487452749393
