hours,jd,fid,H,sigmapsf,heliodist
0.0,2459424.8971412,2,11.098566320086508,0.1529343277215957,6.486053714235
25.01500079780817,2459425.9394329,2,8.780770945802528,0.0713910534977912,6.48410518884
48.64611119404435,2459426.9240625,2,11.4791746296798,0.2009529620409011,6.482263710811
142.99666560441256,2459430.8553356,2,10.86873424665588,0.1332229226827621,6.474904114505
144.5025000013411,2459430.9180787,1,11.402077155362331,0.170108750462532,6.47478656185
359.5016663968563,2459439.8763773,2,10.91871243557246,0.1451772898435592,6.457972831287
8280.573333598673,2459769.9210301,1,11.460121850969854,0.1715625375509262,5.807932947227
8737.773055203259,2459788.9710185,1,11.81476619747379,0.1960391253232956,5.769462816006
9191.260000795126,2459807.8663079,2,11.19954767544213,0.1384223997592926,5.73132379827
9334.523889597504,2459813.8356366,1,11.962262692133088,0.1687995344400406,5.719282629655
9384.556389603764,2459815.9203241,1,12.175738750880418,0.1523043364286422,5.715078572461
9431.58166559413,2459817.8797106,2,11.187284809742287,0.1096047013998031,5.711127776176
9432.23194560036,2459817.9068056,1,11.68109738829468,0.0992326065897941,5.711073147378
9481.52527680248,2459819.9606944,2,10.950074692652167,0.0687106996774673,5.706932437823
9551.54138879478,2459822.8780324,1,12.033783972497448,0.1905689984560012,5.701052149073
9553.825276795777,2459822.9731944,2,11.36727403204227,0.1014026328921318,5.700860361071
9600.037221595643,2459824.8986921,1,11.935923106019724,0.1427263766527176,5.696980078676
9719.534167204052,2459829.8777315,1,11.851928464281752,0.1750573962926864,5.686949375187
9958.069444801658,2459839.8167014,1,11.641152630959256,0.1092020496726036,5.6669413669
9959.353056002408,2459839.8701852,1,11.586057977750531,0.104946993291378,5.666833757939
10054.5141672045,2459843.8352315,1,11.539293998605151,0.0985180214047432,5.658857998825
10056.031111199409,2459843.8984375,2,11.01701509440015,0.0813712999224662,5.658730889578
10175.032778397202,2459848.8568403,1,11.568746371642511,0.1151163950562477,5.648762525854
10222.015833601356,2459850.8144676,2,10.996481072380655,0.0666477605700492,5.644828681682
10223.565832804888,2459850.8790509,1,11.503207597007863,0.097473531961441,5.644698919407
10270.90750079602,2459852.8516204,1,11.574412363842583,0.096444047987461,5.640736138217
10414.049445603045,2459858.8158681,2,11.46926405215931,0.1387957781553268,5.628761036522
11298.526389598846,2459895.6690741,2,10.904916285106829,0.1103365272283554,5.555036523064
11301.087499201298,2459895.775787,1,11.277418604829531,0.2017565965652465,5.554823829174
11346.003055203706,2459897.6472685,1,11.601463215674077,0.1369518041610717,5.551094533108
11347.551667202264,2459897.711794,2,11.082236058539866,0.138111338019371,5.550965981508
11394.542222399265,2459899.6697338,2,10.849992808234347,0.1667128652334213,5.547066160531
11491.031387999654,2459903.6901157,2,11.2503452658558,0.1637129485607147,5.539063958458
11586.500277601182,2459907.6679861,2,11.526575056501605,0.1788829267024994,5.531153981971
12281.560555201024,2459936.628831,2,11.037583394516478,0.1820059865713119,5.473817920588
17785.759999204427,2460165.9704745,1,11.63035689380166,0.1978589296340942,5.04766709228
17880.569721601903,2460169.9208796,2,11.040101479738716,0.0496755689382553,5.040972471042
17881.90249920264,2460169.976412,1,11.630886064933776,0.0797020941972732,5.040878567552
17977.204999197274,2460173.9473495,2,11.337213643450838,0.0885812193155288,5.034178737598
18193.57305599749,2460182.9626852,2,11.135662876506496,0.0684342607855796,5.019078548079
18241.06527840346,2460184.9415278,1,11.96633369151716,0.133083701133728,5.015784987303
18288.874723199755,2460186.933588,2,11.21986568708104,0.0931349322199821,5.012477128778
18290.012222394347,2460186.9809838,1,11.883913918709531,0.1686407476663589,5.012398521551
18431.6505552046,2460192.882581,1,11.580140239478716,0.120253600180149,5.002645175685
18433.253056794405,2460192.9493519,2,10.95720611625434,0.0681863725185394,5.002535221326
18504.087499201298,2460195.900787,1,11.859946649427808,0.1139055266976356,4.997683896094
18506.01777840033,2460195.9812153,2,11.222248649928668,0.0644628256559372,4.997551939593
18575.57999999821,2460198.8796412,1,11.684655762028516,0.1213416680693626,4.992805298477
18577.928056798875,2460198.9774769,2,11.213299835331778,0.0656754150986671,4.992645373933
18818.25,2460208.9908912,2,10.945499285777638,0.0606035329401493,4.976381242917
18888.08916720003,2460211.9008565,1,11.696854132005356,0.0564878396689891,4.971693932186
18937.046387996525,2460213.9407407,1,11.857569148737513,0.0779724493622779,4.968418802011
18984.53722319752,2460215.9195255,2,10.824336565276903,0.0698771700263023,4.965250233338
18986.44750079513,2460215.9991204,1,11.421691518871391,0.0937403365969657,4.965122955492
19032.04166639596,2460217.8988773,2,10.920453029141932,0.0870930626988411,4.962089145229
19127.69611199945,2460221.8844792,1,11.44218730895436,0.0878238677978515,4.955749667795
19296.149167198688,2460228.9033565,1,11.55845451862146,0.0784467309713363,4.944669902744
19366.74583440274,2460231.8448843,1,12.016565162728629,0.0930197313427925,4.940058965628
19462.102499999102,2460235.8180787,2,11.12420830424658,0.0599942095577716,4.933861705496
19463.524999201298,2460235.8773495,1,11.750080862441662,0.0599888935685157,4.933769526955
19559.23611119762,2460239.8653125,2,10.937058718971445,0.0450494475662708,4.927585787382
19559.24722319841,2460239.8657755,2,10.955086122635883,0.0467833168804645,4.927585071569
19561.396111194044,2460239.9553125,1,11.598972008844475,0.0715584158897399,4.927446652873
19561.407499194145,2460239.955787,1,11.558750784117748,0.0688641592860221,4.927445919371
19677.008056797087,2460244.7724769,2,11.02983125008044,0.0744424015283584,4.920026860038
19677.55222319439,2460244.7951505,2,10.926837857615505,0.0540203973650932,4.919992063373
